,Headline,Flesch_Score,Word_Count
0,Government Bailouts Leave Taxpayers Burdened with Alimony.,30.53,7
1,Offshore tax havens under scrutiny by government regulators.,21.06,8
2,Workers suffer from unsafe working conditions and low wages.,53.88,9
3,The decline of the coal industry leads to job loss and economic decline.,66.74,13
4,Government Shutdown Causes Economic Chaos and Public Outcry.,29.52,8
5,Economic Decline Exacerbates Healthcare Disparities.,-52.05,5
6,US inflation hits highest level in over a decade.,79.26,9
7,Global Supply Chain Disruptions Hurt Retailers' Bottom Line.,37.98,8
8,Economy Slows Down as Government Imposes Stricter Regulations on Tech Companies.,26.47,11
9,Consumers Cut Back on Spending Amidst Economic Anxiety.,46.44,8
10,The budget deficit widens due to callous spending by politicians.,78.25,10
11,Semiconductor shortage causes supply chain disruption.,6.17,6
12,"Cease and desist order issued to cartel, leading to disruptions in drug supply chain.",57.27,14
13,The Cost of Aging: Elderly Care in Crisis Due to Bureaucratic Burden.,50.84,12
14,The government's neglect of mental health services has devastating consequences.,27.49,10
15,Lack of government intervention leads to the exploitation of migrant workers.,43.39,11
16,Disabled Workers Face Workplace Discrimination and Depressive Symptoms.,4.14,8
17,Fiscal deficit widens as government fails to curb spending on bailouts and subsidies.,66.74,13
18,Disability discrimination in the workplace perpetuates economic disadvantage.,-55.09,8
19,Corporate lobbyists accused of influencing government policy for personal gain.,-6.36,10
20,Inflation fears grow as supply chain disruptions continue.,37.98,8
21,Cystic Fibrosis Patients Struggle with Financial Burden of Treatment.,28.5,9
22,Mould and Poor Housing Conditions Harm Economic Productivity.,21.06,8
23,Government Shutdown Sparks Nationwide Protests and Unrest.,38.99,7
24,Housing crisis worsens as landlords exploit tenants with high rent and poor living conditions.,57.27,14
25,Allegations of embezzlement surface in political campaign.,-20.24,7
26,"Global supply chain crisis deepens, hurting businesses and consumers.",36.96,9
27,Government corruption leads to bankruptcy of major company.,21.06,8
28,Derogatory Rhetoric from Elected Officials Harms Economic Relations.,21.06,8
29,Government Shutdown Threatens to Stifle Economic Growth.,30.53,7
30,Economic fallout from natural disaster forces government to revise budget.,19.03,10
31,Poor infrastructure and inadequate drainage systems cause floods and property damage.,34.93,11
32,Labor shortage threatens to slow economic recovery.,30.53,7
33,Economic Sanctions Impose Heavy Burden on Impoverished Nations.,21.06,8
34,Economic growth slows down due to government regulation and rising debt.,51.85,11
35,High levels of poverty lead to an increase in crime in impoverished neighborhoods.,58.28,13
36,Depression and Debt: Bailout Packages Fail to Address Root Causes of Economic Decline.,58.28,13
37,Economy slows down amid power shortage and supply chain disruptions.,52.87,10
38,Corporate Tax Evasion Exposes Flaws in Global Economic Systems.,28.5,9
39,The government's failure to address climate change threatens the economy and environment.,33.92,12
40,Economic Recovery Hindered by Political Turmoil and Corruption.,-4.33,8
41,Gross Domestic Product (GDP) Plummets Amidst Trade Uncertainty.,37.98,8
42,Companies accused of price gouging during times of crisis.,53.88,9
43,Bankruptcy filing leaves creditors and customers in limbo.,37.98,8
44,Federal Reserve criticized for failing to address income inequality.,11.58,9
45,Rising unemployment due to government bureaucracy and economic downturn.,3.12,9
46,Corruption allegations implicate high-ranking government officials.,-69.98,6
47,Inflation and Allergies Drive Up Healthcare Costs.,55.91,7
48,Small business owners struggle to stay afloat amidst crippling debt and economic recession.,58.28,13
49,Economic Misery Fuels Surge in Opioid Addiction.,30.53,7
50,Federal Reserve weighs options to combat inflation.,30.53,7
51,The Cost of Healthcare: A Burden on Individuals and the Economy.,51.85,11
52,Tariffs and Trade Wars Escalate Aggression Amongst Nations.,46.44,8
53,Economic Collapse Worsens Climate Crisis and Environmental Disaster.,-12.79,8
54,Escalating Trade War Sparks Fear of Global Recession.,46.44,8
55,Catastrophic Cyber Attack Wreaks Havoc on Financial System.,21.06,8
56,Cyber attack on financial institutions sparks fears of identity theft.,35.95,10
57,Escalating Trade War Triggers Wave of Corporate Bankruptcies.,29.52,8
58,Financial Disaster Pushes Millions into Extreme Poverty and Hunger.,28.5,9
59,Failing Banks Trigger Financial Panic and Social Unrest.,37.98,8
60,Financial Scandal Triggers Widespread Outrage and Protest.,38.99,7
61,Economic Recession Sparks Surge in Bankruptcies and Foreclosures.,29.52,8
62,Government corruption scandal exposes crony capitalism.,-27.68,6
63,Multinational corporation accused of sweatshop labor.,-10.76,6
64,Disasters like hurricanes and wildfires cause financial losses and property abuse.,34.93,11
65,The opioid epidemic has dangerous social and financial consequences.,20.04,9
66,Trade dispute threatens to escalate into a dangerous financial war.,35.95,10
67,Financial Despair Triggers Rise in Terrorism and Crime.,46.44,8
68,Corporate greed leads to environmental devastation and destruction.,-4.33,8
69,The rise of technological improvements leads to fears of unemployment.,35.95,10
70,"Toxic Pollution crisis hits food industry, prices increase.",37.98,8
71,Financial bailout fails to save declining industry from inevitable destructive collapse.,34.93,11
72,Food Insecurity Worsens as Financial Crisis Aggravates.,-3.32,7
73,Stocks plummet amid fear of impending recession with alarming prices.,61.33,10
74,Neglected Infrastructure Fails to Attract Foreign Money Investment.,4.14,8
75,Extensive Bank Failures Triggers a Dangerous Financial Chaos.,29.52,8
76,"Inflation spikes following tornados in Mid-West, aggravates poverty.",4.14,8
