"","doc_id","negative","positive","neg_positive","neg_negative"
"1","text1",1,0,0,0
"2","text2",0,0,0,0
"3","text3",2,0,0,0
"4","text4",0,0,0,0
"5","text5",2,0,0,0
"6","text6",1,0,0,0
"7","text7",1,0,0,0
"8","text8",2,0,0,0
"9","text9",1,0,0,0
"10","text10",1,0,0,0
"11","text11",2,0,0,0
"12","text12",2,0,0,0
"13","text13",1,0,0,0
"14","text14",2,1,0,0
"15","text15",2,0,0,0
"16","text16",2,0,0,0
"17","text17",3,0,0,0
"18","text18",2,0,0,0
"19","text19",3,0,0,0
"20","text20",1,0,0,0
"21","text21",2,0,0,0
"22","text22",2,0,0,0
"23","text23",2,0,0,0
"24","text24",2,0,0,0
"25","text25",4,0,0,0
"26","text26",1,0,0,0
"27","text27",2,0,0,0
"28","text28",2,0,0,0
"29","text29",2,0,0,0
"30","text30",2,0,0,0
"31","text31",2,0,0,0
"32","text32",3,0,0,0
"33","text33",2,1,0,0
"34","text34",3,0,0,0
"35","text35",1,0,0,0
"36","text36",3,0,0,0
"37","text37",3,0,0,0
"38","text38",2,0,0,0
"39","text39",1,0,0,0
"40","text40",2,0,0,0
"41","text41",3,1,0,0
"42","text42",1,0,0,0
"43","text43",2,0,0,0
"44","text44",1,0,0,0
"45","text45",3,0,0,0
"46","text46",0,0,0,0
"47","text47",3,0,0,0
"48","text48",0,0,0,0
"49","text49",3,1,0,0
"50","text50",2,0,0,0
"51","text51",1,0,0,0
"52","text52",1,0,0,0
"53","text53",2,0,0,0
"54","text54",4,0,0,0
"55","text55",2,0,0,0
"56","text56",3,0,0,0
"57","text57",3,0,0,0
"58","text58",2,0,0,0
"59","text59",3,0,0,0
"60","text60",3,0,0,0
"61","text61",3,0,0,0
"62","text62",1,0,0,0
"63","text63",2,0,0,0
"64","text64",1,0,0,0
"65","text65",3,1,0,0
"66","text66",2,0,0,0
"67","text67",4,0,0,0
"68","text68",3,0,0,0
"69","text69",3,0,0,0
"70","text70",1,1,0,0
"71","text71",4,0,0,0
"72","text72",3,0,0,0
"73","text73",4,0,0,0
"74","text74",2,0,0,0
"75","text75",2,0,0,0
"76","text76",3,0,0,0
"77","text77",3,0,0,0
"78","text78",2,0,0,0
"79","text79",3,0,0,0
"80","text80",4,0,0,0
"81","text81",2,0,0,0
"82","text82",3,0,0,0
"83","text83",2,0,0,0
"84","text84",1,0,0,0
"85","text85",3,0,0,0
"86","text86",2,0,0,0
"87","text87",3,0,0,0
"88","text88",4,0,0,0
"89","text89",3,0,0,0
"90","text90",3,0,0,0
"91","text91",3,0,0,0
"92","text92",1,0,0,0
"93","text93",3,0,0,0
"94","text94",4,0,0,0
"95","text95",2,0,0,0
"96","text96",4,0,0,0
"97","text97",2,0,0,0
"98","text98",2,1,0,0
"99","text99",2,0,0,0
"100","text100",4,0,0,0
"101","text101",3,0,0,0
"102","text102",3,0,0,0
"103","text103",1,0,0,0
"104","text104",2,0,0,0
"105","text105",0,1,0,0
"106","text106",0,0,0,0
"107","text107",0,0,0,0
"108","text108",0,2,0,0
"109","text109",0,1,0,0
"110","text110",0,1,0,0
"111","text111",0,0,0,0
"112","text112",0,1,0,0
"113","text113",0,1,0,0
"114","text114",0,0,0,0
"115","text115",0,0,0,0
"116","text116",2,2,0,0
"117","text117",0,1,0,0
"118","text118",0,2,0,0
"119","text119",1,0,0,0
"120","text120",0,1,0,0
"121","text121",1,1,0,0
"122","text122",0,0,0,0
"123","text123",0,0,0,0
"124","text124",0,1,0,0
"125","text125",0,0,0,0
"126","text126",0,0,0,0
"127","text127",0,1,0,0
"128","text128",0,0,0,0
"129","text129",0,1,0,0
"130","text130",0,0,0,0
"131","text131",0,0,0,0
"132","text132",0,1,0,0
"133","text133",0,1,0,0
"134","text134",0,1,0,0
"135","text135",0,0,0,0
"136","text136",1,0,0,0
"137","text137",0,1,0,0
"138","text138",1,1,0,0
"139","text139",0,2,0,0
"140","text140",0,1,0,0
"141","text141",2,0,0,0
"142","text142",0,0,0,0
"143","text143",0,0,0,0
"144","text144",0,0,0,0
"145","text145",0,0,0,0
"146","text146",0,1,0,0
"147","text147",0,0,0,0
"148","text148",1,0,0,0
"149","text149",0,0,0,0
"150","text150",0,0,0,0
"151","text151",0,0,0,0
"152","text152",0,0,0,0
"153","text153",0,1,0,0
"154","text154",0,0,0,0
"155","text155",0,3,0,0
"156","text156",0,2,0,0
"157","text157",1,1,0,0
"158","text158",0,3,0,0
"159","text159",0,1,0,0
"160","text160",0,3,0,0
"161","text161",1,0,0,0
"162","text162",0,2,0,0
"163","text163",1,0,0,0
"164","text164",0,1,0,0
"165","text165",1,0,0,0
"166","text166",0,0,0,0
"167","text167",0,1,0,0
"168","text168",1,1,0,0
"169","text169",0,1,0,0
"170","text170",2,3,0,0
"171","text171",1,1,0,0
"172","text172",1,1,0,0
