"","doc_id","negative","positive","neg_positive","neg_negative"
"1","text1",0,1,0,0
"2","text2",1,0,0,0
"3","text3",0,0,0,0
"4","text4",1,0,0,0
"5","text5",0,0,0,0
"6","text6",0,0,0,0
"7","text7",1,0,0,0
"8","text8",1,2,0,0
"9","text9",1,0,0,0
"10","text10",1,0,0,0
"11","text11",0,0,0,0
"12","text12",1,1,0,0
"13","text13",1,0,0,0
"14","text14",1,1,0,0
"15","text15",0,0,0,0
"16","text16",1,0,0,0
"17","text17",1,0,0,0
"18","text18",0,0,0,0
"19","text19",2,1,0,0
"20","text20",2,0,0,0
"21","text21",1,1,0,0
"22","text22",0,2,0,0
"23","text23",0,0,0,0
"24","text24",1,1,0,0
"25","text25",2,0,0,0
"26","text26",0,0,0,0
"27","text27",1,0,0,0
"28","text28",0,0,0,0
"29","text29",0,0,0,0
"30","text30",0,0,0,0
"31","text31",2,0,0,0
"32","text32",0,0,0,0
"33","text33",0,0,0,0
"34","text34",0,1,0,0
"35","text35",3,0,0,0
"36","text36",0,0,0,0
"37","text37",0,0,0,0
"38","text38",1,0,0,0
"39","text39",2,1,0,0
"40","text40",0,0,0,0
"41","text41",0,2,0,0
"42","text42",2,0,0,0
"43","text43",1,0,0,0
"44","text44",1,0,0,0
"45","text45",0,0,0,0
"46","text46",1,0,0,0
"47","text47",1,1,0,0
"48","text48",1,0,0,0
"49","text49",0,1,0,0
"50","text50",0,2,0,0
"51","text51",1,0,0,0
"52","text52",2,1,0,0
"53","text53",1,1,0,0
"54","text54",0,0,0,0
"55","text55",3,1,0,0
"56","text56",1,1,1,0
"57","text57",0,1,0,0
"58","text58",0,0,0,0
"59","text59",0,0,0,0
"60","text60",0,1,0,0
"61","text61",0,1,0,0
"62","text62",0,1,0,0
"63","text63",0,2,0,0
"64","text64",0,0,0,0
"65","text65",1,0,0,0
"66","text66",1,0,0,0
"67","text67",0,1,0,0
"68","text68",1,0,0,0
"69","text69",0,0,1,0
"70","text70",1,0,0,0
"71","text71",0,1,0,0
"72","text72",2,0,0,0
"73","text73",0,0,0,0
"74","text74",0,0,0,0
"75","text75",1,0,0,0
"76","text76",0,0,0,0
