"Sentence ID","Sentence","Sentiment","Sentiment Label","Arousal","Dominance","# Words Found","Found Words","All Words"
1,"""Government Bailouts Leave Taxpayers Burdened with Alimony.""",3.884,"negative",3.648,4.22,"5 out of 6","['government', 'leave', 'taxpayer', 'burden', 'alimony']","['government', 'bailouts', 'leave', 'taxpayer', 'burden', 'alimony']"
2,"""Offshore tax havens under scrutiny by government regulators.""",4.47,"neutral",3.75166666666667,4.40333333333333,"6 out of 6","['offshore', 'tax', 'haven', 'scrutiny', 'government', 'regulator']","['offshore', 'tax', 'haven', 'scrutiny', 'government', 'regulator']"
3,"""Workers suffer from unsafe working conditions and low wages.""",4.25833333333333,"neutral",3.84333333333333,4.62166666666667,"6 out of 7","['worker', 'suffer', 'unsafe', 'condition', 'low', 'wage']","['worker', 'suffer', 'unsafe', 'working', 'condition', 'low', 'wage']"
4,"""The decline of the coal industry leads to job loss and economic decline.""",4.40125,"neutral",3.84625,4.41125,"8 out of 8","['decline', 'coal', 'industry', 'lead', 'job', 'loss', 'economic', 'decline']","['decline', 'coal', 'industry', 'lead', 'job', 'loss', 'economic', 'decline']"
5,"""Government Shutdown Causes Economic Chaos and Public Outcry.""",4.29333333333333,"neutral",3.905,4.34833333333333,"6 out of 7","['government', 'shutdown', 'cause', 'economic', 'chaos', 'public']","['government', 'shutdown', 'cause', 'economic', 'chaos', 'public', 'outcry']"
6,"""Economic Decline Exacerbates Healthcare Disparities.""",4.35,"neutral",3.92666666666667,3.97333333333333,"3 out of 5","['economic', 'decline', 'healthcare']","['economic', 'decline', 'exacerbate', 'healthcare', 'disparity']"
7,"""US inflation hits highest level in over a decade.""",4.3325,"neutral",3.935,4.8875,"4 out of 6","['inflation', 'hit', 'level', 'decade']","['us', 'inflation', 'hit', 'highest', 'level', 'decade']"
8,"""Global Supply Chain Disruptions Hurt Retailers' Bottom Line.""",4.23857142857143,"neutral",3.95142857142857,4.31,"7 out of 8","['global', 'supply', 'chain', 'disruption', 'hurt', 'bottom', 'line']","['global', 'supply', 'chain', 'disruption', 'hurt', 'retailer', 'bottom', 'line']"
9,"""Economy Slows Down as Government Imposes Stricter Regulations on Tech Companies.""",4.40571428571429,"neutral",3.95571428571429,4.69,"7 out of 8","['economy', 'slow', 'government', 'impose', 'regulation', 'tech', 'company']","['economy', 'slow', 'government', 'impose', 'stricter', 'regulation', 'tech', 'company']"
10,"""Consumers Cut Back on Spending Amidst Economic Anxiety.""",4.418,"neutral",3.976,4.516,"5 out of 7","['consumer', 'cut', 'back', 'economic', 'anxiety']","['consumer', 'cut', 'back', 'spending', 'amidst', 'economic', 'anxiety']"
11,"""The budget deficit widens due to callous spending by politicians.""",3.93333333333333,"negative",3.985,4.465,"6 out of 7","['budget', 'deficit', 'widen', 'due', 'callous', 'politician']","['budget', 'deficit', 'widen', 'due', 'callous', 'spending', 'politician']"
12,"""Semiconductor shortage causes supply chain disruption.""",4.398,"neutral",4.002,4.372,"5 out of 6","['shortage', 'cause', 'supply', 'chain', 'disruption']","['semiconductor', 'shortage', 'cause', 'supply', 'chain', 'disruption']"
13,"""Cease and desist order issued to cartel, leading to disruptions in drug supply chain.""",4.458,"neutral",4.022,4.778,"10 out of 10","['cease', 'desist', 'order', 'issue', 'cartel', 'lead', 'disruption', 'drug', 'supply', 'chain']","['cease', 'desist', 'order', 'issue', 'cartel', 'lead', 'disruption', 'drug', 'supply', 'chain']"
14,"""The Cost of Aging: Elderly Care in Crisis Due to Bureaucratic Burden.""",4.13625,"neutral",4.02875,4.05875,"8 out of 8","['cost', 'aging', 'elderly', 'care', 'crisis', 'due', 'bureaucratic', 'burden']","['cost', 'aging', 'elderly', 'care', 'crisis', 'due', 'bureaucratic', 'burden']"
15,"""The government's neglect of mental health services has devastating consequences.""",4.30714285714286,"neutral",4.05571428571429,4.60571428571429,"7 out of 7","['government', 'neglect', 'mental', 'health', 'service', 'devastating', 'consequence']","['government', 'neglect', 'mental', 'health', 'service', 'devastating', 'consequence']"
16,"""Lack of government intervention leads to the exploitation of migrant workers.""",4.33333333333333,"neutral",4.06333333333333,4.94166666666667,"6 out of 7","['lack', 'government', 'intervention', 'lead', 'exploitation', 'worker']","['lack', 'government', 'intervention', 'lead', 'exploitation', 'migrant', 'worker']"
17,"""Disabled Workers Face Workplace Discrimination and Depressive Symptoms.""",4.11571428571429,"neutral",4.09571428571429,5.07714285714286,"7 out of 7","['disabled', 'worker', 'face', 'workplace', 'discrimination', 'depressive', 'symptom']","['disabled', 'worker', 'face', 'workplace', 'discrimination', 'depressive', 'symptom']"
18,"""Fiscal deficit widens as government fails to curb spending on bailouts and subsidies.""",3.81,"negative",4.09,4.72666666666667,"6 out of 9","['fiscal', 'deficit', 'widen', 'government', 'fail', 'curb']","['fiscal', 'deficit', 'widen', 'government', 'fail', 'curb', 'spending', 'bailouts', 'subsidy']"
19,"""Disability discrimination in the workplace perpetuates economic disadvantage.""",3.712,"negative",4.108,4.532,"5 out of 6","['disability', 'discrimination', 'workplace', 'economic', 'disadvantage']","['disability', 'discrimination', 'workplace', 'perpetuate', 'economic', 'disadvantage']"
20,"""Corporate lobbyists accused of influencing government policy for personal gain.""",4.49625,"neutral",4.13,5.0275,"8 out of 8","['corporate', 'lobbyist', 'accuse', 'influence', 'government', 'policy', 'personal', 'gain']","['corporate', 'lobbyist', 'accuse', 'influence', 'government', 'policy', 'personal', 'gain']"
21,"""Inflation fears grow as supply chain disruptions continue.""",4.42142857142857,"neutral",4.13571428571429,4.61857142857143,"7 out of 7","['inflation', 'fear', 'grow', 'supply', 'chain', 'disruption', 'continue']","['inflation', 'fear', 'grow', 'supply', 'chain', 'disruption', 'continue']"
22,"""Cystic Fibrosis Patients Struggle with Financial Burden of Treatment.""",4.17285714285714,"neutral",4.18571428571429,4.30285714285714,"7 out of 7","['cystic', 'fibrosis', 'patient', 'struggle', 'financial', 'burden', 'treatment']","['cystic', 'fibrosis', 'patient', 'struggle', 'financial', 'burden', 'treatment']"
23,"""Mould and Poor Housing Conditions Harm Economic Productivity.""",4.42428571428571,"neutral",4.21714285714286,5.23857142857143,"7 out of 7","['mould', 'poor', 'housing', 'condition', 'harm', 'economic', 'productivity']","['mould', 'poor', 'housing', 'condition', 'harm', 'economic', 'productivity']"
24,"""Government Shutdown Sparks Nationwide Protests and Unrest.""",4.275,"neutral",4.21833333333333,4.54666666666667,"6 out of 6","['government', 'shutdown', 'spark', 'nationwide', 'protest', 'unrest']","['government', 'shutdown', 'spark', 'nationwide', 'protest', 'unrest']"
25,"""Housing crisis worsens as landlords exploit tenants with high rent and poor living conditions.""",4.19888888888889,"neutral",4.21888888888889,5.11888888888889,"9 out of 11","['housing', 'crisis', 'landlord', 'exploit', 'tenant', 'high', 'rent', 'poor', 'condition']","['housing', 'crisis', 'worsen', 'landlord', 'exploit', 'tenant', 'high', 'rent', 'poor', 'living', 'condition']"
26,"""Allegations of embezzlement surface in political campaign.""",4.146,"neutral",4.222,4.504,"5 out of 5","['allegation', 'embezzlement', 'surface', 'political', 'campaign']","['allegation', 'embezzlement', 'surface', 'political', 'campaign']"
27,"""Global supply chain crisis deepens, hurting businesses and consumers.""",4.48571428571429,"neutral",4.22428571428571,4.61,"7 out of 8","['global', 'supply', 'chain', 'crisis', 'hurt', 'business', 'consumer']","['global', 'supply', 'chain', 'crisis', 'deepen', 'hurt', 'business', 'consumer']"
28,"""Government corruption leads to bankruptcy of major company.""",4.33666666666667,"neutral",4.24666666666667,4.25833333333333,"6 out of 6","['government', 'corruption', 'lead', 'bankruptcy', 'major', 'company']","['government', 'corruption', 'lead', 'bankruptcy', 'major', 'company']"
29,"""Derogatory Rhetoric from Elected Officials Harms Economic Relations.""",4.48857142857143,"neutral",4.25285714285714,4.73571428571429,"7 out of 7","['derogatory', 'rhetoric', 'elect', 'official', 'harm', 'economic', 'relation']","['derogatory', 'rhetoric', 'elect', 'official', 'harm', 'economic', 'relation']"
30,"""Government Shutdown Threatens to Stifle Economic Growth.""",4.21,"neutral",4.258,4.4,"5 out of 6","['government', 'shutdown', 'threaten', 'economic', 'growth']","['government', 'shutdown', 'threaten', 'stifle', 'economic', 'growth']"
31,"""Economic fallout from natural disaster forces government to revise budget.""",4.23,"neutral",4.2675,4.24625,"8 out of 8","['economic', 'fallout', 'natural', 'disaster', 'force', 'government', 'revise', 'budget']","['economic', 'fallout', 'natural', 'disaster', 'force', 'government', 'revise', 'budget']"
32,"""Poor infrastructure and inadequate drainage systems cause floods and property damage.""",4.18333333333333,"neutral",4.27,4.64555555555556,"9 out of 9","['poor', 'infrastructure', 'inadequate', 'drainage', 'system', 'cause', 'flood', 'property', 'damage']","['poor', 'infrastructure', 'inadequate', 'drainage', 'system', 'cause', 'flood', 'property', 'damage']"
33,"""Labor shortage threatens to slow economic recovery.""",4.41666666666667,"neutral",4.27166666666667,4.67,"6 out of 6","['labor', 'shortage', 'threaten', 'slow', 'economic', 'recovery']","['labor', 'shortage', 'threaten', 'slow', 'economic', 'recovery']"
34,"""Economic Sanctions Impose Heavy Burden on Impoverished Nations.""",4.23571428571429,"neutral",4.27714285714286,4.21714285714286,"7 out of 7","['economic', 'sanction', 'impose', 'heavy', 'burden', 'impoverished', 'nation']","['economic', 'sanction', 'impose', 'heavy', 'burden', 'impoverished', 'nation']"
35,"""Economic growth slows down due to government regulation and rising debt.""",4.45625,"neutral",4.28375,4.6975,"8 out of 8","['economic', 'growth', 'slow', 'due', 'government', 'regulation', 'rise', 'debt']","['economic', 'growth', 'slow', 'due', 'government', 'regulation', 'rise', 'debt']"
36,"""High levels of poverty lead to an increase in crime in impoverished neighborhoods.""",4.4275,"neutral",4.36625,4.925,"8 out of 8","['high', 'level', 'poverty', 'lead', 'increase', 'crime', 'impoverished', 'neighborhood']","['high', 'level', 'poverty', 'lead', 'increase', 'crime', 'impoverished', 'neighborhood']"
37,"""Depression and Debt: Bailout Packages Fail to Address Root Causes of Economic Decline.""",4.08444444444444,"neutral",4.30333333333333,4.55333333333333,"9 out of 10","['depression', 'debt', 'package', 'fail', 'address', 'root', 'cause', 'economic', 'decline']","['depression', 'debt', 'bailout', 'package', 'fail', 'address', 'root', 'cause', 'economic', 'decline']"
