"key","headline","doc_id","lexi_negative","lexi_positive","lexi_neg_positive","lexi_neg_negative","net_lexi_tone","anew_valence","anew_valence_label","anew_arousal","anew_dominance","num_words_ex_stopwords","num_words_inc_stopwords","flesch_score"
1,"""Government Bailouts Leave Taxpayers Burdened with Alimony.""","text1",1,0,0,0,-0.142857142857143,3.884,"negative",3.648,4.22,6,7,30.53
2,"""Offshore tax havens under scrutiny by government regulators.""","text2",0,0,0,0,0,4.47,"neutral",3.75166666666667,4.40333333333333,6,8,21.06
3,"""Workers suffer from unsafe working conditions and low wages.""","text3",2,0,0,0,-0.222222222222222,4.25833333333333,"neutral",3.84333333333333,4.62166666666667,7,9,53.88
4,"""The decline of the coal industry leads to job loss and economic decline.""","text4",0,0,0,0,0,4.40125,"neutral",3.84625,4.41125,8,13,66.74
5,"""Government Shutdown Causes Economic Chaos and Public Outcry.""","text5",2,0,0,0,-0.25,4.29333333333333,"neutral",3.905,4.34833333333333,7,8,29.52
6,"""Economic Decline Exacerbates Healthcare Disparities.""","text6",1,0,0,0,-0.2,4.35,"neutral",3.92666666666667,3.97333333333333,5,5,-52.05
7,"""US inflation hits highest level in over a decade.""","text7",1,0,0,0,-0.111111111111111,4.3325,"neutral",3.935,4.8875,6,9,79.26
8,"""Global Supply Chain Disruptions Hurt Retailers' Bottom Line.""","text8",2,0,0,0,-0.25,4.23857142857143,"neutral",3.95142857142857,4.31,8,8,37.98
9,"""Economy Slows Down as Government Imposes Stricter Regulations on Tech Companies.""","text9",1,0,0,0,-0.0909090909090909,4.40571428571429,"neutral",3.95571428571429,4.69,8,11,26.47
10,"""Consumers Cut Back on Spending Amidst Economic Anxiety.""","text10",1,0,0,0,-0.125,4.418,"neutral",3.976,4.516,7,8,46.44
11,"""The budget deficit widens due to callous spending by politicians.""","text11",2,0,0,0,-0.2,3.93333333333333,"negative",3.985,4.465,7,10,78.25
12,"""Semiconductor shortage causes supply chain disruption.""","text12",2,0,0,0,-0.333333333333333,4.398,"neutral",4.002,4.372,6,6,6.17
13,"""Cease and desist order issued to cartel, leading to disruptions in drug supply chain.""","text13",1,0,0,0,-0.0714285714285714,4.458,"neutral",4.022,4.778,10,14,57.27
14,"""The Cost of Aging: Elderly Care in Crisis Due to Bureaucratic Burden.""","text14",2,1,0,0,-0.0833333333333333,4.13625,"neutral",4.02875,4.05875,8,12,50.84
15,"""The government's neglect of mental health services has devastating consequences.""","text15",2,0,0,0,-0.2,4.30714285714286,"neutral",4.05571428571429,4.60571428571429,7,10,27.49
16,"""Lack of government intervention leads to the exploitation of migrant workers.""","text16",2,0,0,0,-0.181818181818182,4.33333333333333,"neutral",4.06333333333333,4.94166666666667,7,11,43.39
17,"""Disabled Workers Face Workplace Discrimination and Depressive Symptoms.""","text17",3,0,0,0,-0.375,4.11571428571429,"neutral",4.09571428571429,5.07714285714286,7,8,4.14
18,"""Fiscal deficit widens as government fails to curb spending on bailouts and subsidies.""","text18",2,0,0,0,-0.153846153846154,3.81,"negative",4.09,4.72666666666667,9,13,66.74
19,"""Disability discrimination in the workplace perpetuates economic disadvantage.""","text19",3,0,0,0,-0.375,3.712,"negative",4.108,4.532,6,8,-55.09
20,"""Corporate lobbyists accused of influencing government policy for personal gain.""","text20",1,0,0,0,-0.1,4.49625,"neutral",4.13,5.0275,8,10,-6.36
21,"""Inflation fears grow as supply chain disruptions continue.""","text21",2,0,0,0,-0.25,4.42142857142857,"neutral",4.13571428571429,4.61857142857143,7,8,37.98
22,"""Cystic Fibrosis Patients Struggle with Financial Burden of Treatment.""","text22",2,0,0,0,-0.222222222222222,4.17285714285714,"neutral",4.18571428571429,4.30285714285714,7,9,28.5
23,"""Mould and Poor Housing Conditions Harm Economic Productivity.""","text23",2,0,0,0,-0.25,4.42428571428571,"neutral",4.21714285714286,5.23857142857143,7,8,21.06
24,"""Government Shutdown Sparks Nationwide Protests and Unrest.""","text24",2,0,0,0,-0.285714285714286,4.275,"neutral",4.21833333333333,4.54666666666667,6,7,38.99
