"key","headline","doc_id","lexi_negative","lexi_positive","lexi_neg_positive","lexi_neg_negative","net_lexi_tone","anew_valence","anew_valence_label","anew_arousal","anew_dominance","num_words_ex_stopwords","num_words_inc_stopwords","flesch_score"
1," 7 Winter Home Maintenance Tasks That Will Save You Money (and Your Sanity).","text1",0,1,0,0,0.0769230769230769,6.47,"positive",4.10285714285714,5.93142857142857,"7 ",13,66.74
2,"Another round of stimulus payments is coming Here s what experts think you ll do with the money.","text2",0,1,0,0,0.0555555555555556,6.12,"positive",4.26714285714286,5.97857142857143,"7 ",18,70.13
3,"Answering Your Questions On Stocks  Bagged Milk  Shrinkflation  and Wealthy Tech.","text3",0,1,0,0,0.0909090909090909,5.98428571428571,"neutral",3.76142857142857,5.72,"7 ",11,68.77
4,"As Winter Arrives  PG&E Offers Tips to Help Customers Save Money and Energy.","text4",0,1,0,0,0.0769230769230769,6.49111111111111,"positive",4.52666666666667,6.08555555555556,"9 ",13,66.74
5,"ASES SOLAR 2022 Energy Transition with Economic Justice.","text5",0,0,0,0,0,6.046,"positive",4.558,5.414,"5 ",8,21.06
6,"Australian shares track Wall St higher on economic recovery hopes.","text6",0,2,0,0,0.2,6.01166666666667,"positive",3.815,5.44833333333333,"6 ",10,61.33
7,"Bank of Blue Valley Launches New Home Improvement Loan for Low- to Moderate- Income Consumers.","text7",0,2,0,0,0.133333333333333,6.09583333333333,"positive",3.905,5.4175,"12",15,64.71
8,"BBVA Research publishes its first quarter US Economic Outlook.","text8",0,0,0,0,0,6.1,"positive",4.045,6.05833333333333,"6 ",9,36.96
9,"BECU Helps Low-Balance Savers Increase Savings by More Than $2 Million with Quick Save  Powered by MX.","text9",0,2,0,0,0.117647058823529,6.37555555555556,"positive",4.32666666666667,5.76777777777778,"9 ",17,71.14
10,"Black Friday 2021 deals are hereshop epic savings at Walmart  Target  Best Buy and more.","text10",0,1,0,0,0.0666666666666667,6.158,"positive",4.384,6.024,"5 ",15,81.63
11,"Bonds see large inflows  TIPS pull in record money in weekly flows.","text11",0,0,0,0,0,6.0625,"positive",4.26625,5.76875,"8 ",12,84.68
12,"Business Highlights Time use survey   free money  programs.","text12",0,1,0,0,0.125,6.155,"positive",4.36625,5.905,"8 ",8,63.36
13,"Business model How to make money with the health beauty of the feet.","text13",0,1,0,0,0.0769230769230769,6.30857142857143,"positive",4.18285714285714,5.99857142857143,"7 ",13,83.66
14,"Carnegie Mellon  Heinz Endowments Launch Initiative to Promote Economic Empowerment  Address Inequities in Pittsburgh Region.","text14",0,1,0,0,0.0666666666666667,6.00714285714286,"positive",3.94714285714286,5.82714285714286,"7 ",15,22.41
15,"China stocks rise on hopes of more economic support  Hong Kong down.","text15",0,2,0,0,0.166666666666667,6.14,"positive",4.152,5.776,"5 ",12,84.68
16,"China-Backed Economist to Become First Woman Head of WTO.","text16",0,0,0,0,0,6.272,"positive",3.834,5.854,"5 ",9,62.34
17,"Chinese investors sell equities  buy money market funds.","text17",0,0,0,0,0,6.12,"positive",4.39714285714286,6.03,"7 ",8,46.44
18,"Creating Real Value BRI Distributes Record IDR 347 Trillion of ESG Linked Loans.","text18",0,1,0,0,0.0769230769230769,6.12625,"positive",4.345,5.5475,"8 ",13,66.74
19,"Dear Billionaire Here s how you should donate your money.","text19",0,1,0,0,0.1,6.6,"positive",5.62,6.46333333333333,"3 ",10,78.25
20,"Disney+ subscribers keep growing  but they re making Disney less money.","text20",0,0,0,0,0,6.3,"positive",3.902,5.714,"5 ",11,68.77
21,"Dollar gains as US economic picture brightens  bitcoin touches new record.","text21",0,1,0,0,0.0909090909090909,6.5875,"positive",4.43375,5.74375,"8 ",11,60.31
22,"Dollar slides on improving European  UK economic outlooks  commodities bounce.","text22",0,1,0,0,0.1,6.06428571428571,"positive",4.13714285714286,5.49571428571429,"7 ",10,27.49
23,"Double Bottomline Corp Completes the Purchase of Community Savings Bancorp  Inc and Community Savings.","text23",1,0,0,0,-0.0714285714285714,6.186,"positive",3.73,6.628,"5 ",14,23.43
24,"Eastland Shoe Corp Secures $5 Million Credit Facility from Cambridge Savings Bank.","text24",0,2,0,0,0.166666666666667,6.12333333333333,"positive",3.99166666666667,5.51166666666667,"6 ",12,42.38
25,"Fact check More money spent on housing National Guard in DC than shelter for migrants.","text25",0,0,0,0,0,6.20625,"positive",3.88,5.72375,"8 ",15,73.17
26,"FEDERAL HOME LOAN BANK OF NEW YORK AWARDS $343 MILLION FOR 46 AFFORDABLE HOUSING INITIATIVES.","text26",0,2,0,0,0.133333333333333,6.387,"positive",4.302,5.497,"10",15,64.71
27,"First-time investors How to make money with ETFs  mutual funds and index funds.","text27",0,0,0,0,0,6.39,"positive",4.36375,5.94875,"8 ",13,66.74
28,"FirstBank Announces Good Business Contest with $60 000 in Prize Money and Donations.","text28",0,2,0,0,0.153846153846154,6.69142857142857,"positive",4.45,5.91142857142857,"7 ",13,66.74
29,"Food  farm plan aims to boost economic output by 26% by 2030.","text29",0,0,0,0,0,6.04428571428571,"positive",3.94142857142857,5.94428571428571,"7 ",12,84.68
30,"For Tesla  bitcoin was a bigger moneymaker last quarter than cars.","text30",0,0,0,0,0,6.12,"positive",3.945,6.225,"2 ",11,60.31
31,"Fractional shares  index funds  dividend stocks How to invest if you don t have a lot of money.","text31",0,0,0,0,0,6.306,"positive",4.42,5.874,"5 ",18,70.13
