"key","headline","doc_id","lexi_negative","lexi_positive","lexi_neg_positive","lexi_neg_negative","net_lexi_tone","anew_valence","anew_valence_label","anew_arousal","anew_dominance","num_words_ex_stopwords","num_words_inc_stopwords","flesch_score"
1,"Stock Market Newbies, This Guide Is For You.","text1",0,1,0,0,0.25,5.71333333333333,"neutral",3.46,5.38,4,8,88.74
2,"Funding And Childcare Gaps Keep Women-Led Businesses From Growing.","text2",0,0,0,0,0,5.87,"neutral",3.57714285714286,5.30714285714286,8,9,45.42
3,"How Often Can You Refinance a Home Loan More Than You Might Think.","text3",0,0,0,0,0,6.11666666666667,"positive",3.61,5.68,6,13,92.12
4,"Northern Trust Chief Economist Named Most Accurate Forecaster.","text4",0,2,0,0,0.285714285714286,6.352,"positive",3.622,5.706,7,8,37.98
5,"Double Bottomline Corp Completes the Purchase of Bancorp, Inc and Community Savings.","text5",1,0,0,0,-0.111111111111111,6.21,"positive",3.7125,6.5075,9,12,42.38
6,"Answering Your Questions On Stocks, Bagged Milk, Shrinkflation, and Wealthy Tech.","text6",0,1,0,0,0.125,5.98428571428571,"neutral",3.76142857142857,5.72,8,11,68.77
7,"What's keeping America's top economists up at night.","text7",0,1,0,0,0.2,6.33333333333333,"positive",3.77666666666667,5.72666666666667,5,8,46.44
8,"Pot is legal in NY state, and the economic opportunities are sky high.","text8",0,1,0,0,0.125,6.01,"positive",3.8,5.86,8,13,66.74
9,"Australian shares track Wall St higher on economic recovery hopes.","text9",0,2,0,0,0.222222222222222,6.01166666666667,"positive",3.815,5.44833333333333,9,10,61.33
10,"US-Backed Economist to Become First Woman Head of WTO.","text10",0,0,0,0,0,6.272,"positive",3.834,5.854,8,9,62.34
11,"Fact check: More money spent on housing National Guard in DC than shelter for migrants.","text11",0,0,0,0,0,6.20625,"positive",3.88,5.72375,"10",15,73.17
12,"Disney+ subscribers keep growing, but they're making Disney less money.","text12",0,0,0,0,0,6.3,"positive",3.902,5.714,8,10,61.33
13,"Bank of Blue Valley Launches New Home Improvement Loan for Moderate- Income Consumers.","text13",0,2,0,0,0.181818181818182,6.25090909090909,"positive",4.05909090909091,5.62727272727273,"11",13,58.28
14,"My Aunt Has Been Spending My Grandmother's Savings on Psychics.","text14",0,0,0,0,0,6.44,"positive",3.9125,5.4775,5,10,69.79
15,"Food, farm plan aims to boost economic output by 26% by 2030.","text15",0,0,0,0,0,6.04428571428571,"positive",3.94142857142857,5.94428571428571,7,12,84.68
16,"For Tesla, bitcoin was a bigger moneymaker last quarter than cars.","text16",0,0,0,0,0,6.12,"positive",3.945,6.225,7,11,60.31
17,"Eastland Shoe Corp Secures $5M Credit Facility from Cambridge Savings Bank.","text17",0,2,0,0,0.222222222222222,5.838,"neutral",3.714,5.45,9,11,51.85
18,"5 Financial Tasks for Fall, and Kid Debit Cards.","text18",0,0,0,0,0,5.534,"neutral",4,4.944,6,9,87.72
19,"Free grocery store opens in school district with high number of students.","text19",0,2,0,0,0.222222222222222,6.11444444444444,"positive",4.01555555555556,5.95777777777778,9,12,84.68
